tg_00,tg_01,tg_02,tg_03,tg_04,tg_05,tg_06,tg_07,tg_08,tg_09,tg_10,tg_11,tg_12,tg_13,tg_14,tg_15,tg_16,tg_17,tg_18,tg_19,tg_20
2.75645e-03,1.65611e-03,1.07006e-03,6.35593e-04,3.50982e-04,2.17336e-04,1.46936e-04,9.32175e-05,5.70245e-05,3.89414e-05,2.85941e-05,1.98175e-05,1.31093e-05,9.23374e-06,6.81689e-06,4.54992e-06,2.88376e-06,1.94510e-06,1.37626e-06,8.77077e-07,5.30660e-07
2.20727e-03,1.35222e-03,8.99259e-04,5.57884e-04,3.22350e-04,2.04340e-04,1.38522e-04,8.57845e-05,4.90514e-05,3.07061e-05,2.05811e-05,1.25787e-05,7.17240e-06,4.49021e-06,3.02907e-06,1.83389e-06,1.07122e-06,6.88802e-07,4.74193e-07,2.96264e-07,1.78270e-07
2.12187e-03,1.27499e-03,8.34396e-04,5.10346e-04,2.93132e-04,1.86553e-04,1.27568e-04,8.01684e-05,4.67362e-05,2.97234e-05,2.01645e-05,1.24806e-05,7.19245e-06,4.52979e-06,3.06540e-06,1.85914e-06,1.08558e-06,6.96758e-07,4.78511e-07,2.97775e-07,1.78272e-07
2.09427e-03,1.25661e-03,8.21941e-04,5.02811e-04,2.88919e-04,1.83936e-04,1.25802e-04,7.90577e-05,4.60807e-05,2.93017e-05,1.98764e-05,1.23024e-05,7.09151e-06,4.46800e-06,3.02499e-06,1.83600e-06,1.07308e-06,6.89335e-07,4.73783e-07,2.95138e-07,1.76893e-07
2.15063e-03,1.32167e-03,8.81786e-04,5.49379e-04,3.19085e-04,2.03132e-04,1.38174e-04,8.58957e-05,4.93020e-05,3.09416e-05,2.07745e-05,1.27166e-05,7.25821e-06,4.54529e-06,3.06601e-06,1.85544e-06,1.08294e-06,6.95752e-07,4.78588e-07,2.98675e-07,1.79495e-07
2.12476e-03,1.29555e-03,8.59006e-04,5.33454e-04,3.12037e-04,2.02050e-04,1.40515e-04,9.04100e-05,5.42809e-05,3.53678e-05,2.44521e-05,1.54398e-05,9.04624e-06,5.74532e-06,3.90027e-06,2.36279e-06,1.37029e-06,8.71046e-07,5.91901e-07,3.62427e-07,2.12642e-07
2.12963e-03,1.29986e-03,8.62634e-04,5.36105e-04,3.13489e-04,2.02573e-04,1.40407e-04,8.97877e-05,5.34152e-05,3.45080e-05,2.36852e-05,1.48306e-05,8.61897e-06,5.44488e-06,3.68393e-06,2.22583e-06,1.28961e-06,8.20310e-07,5.58268e-07,3.42874e-07,2.02083e-07
2.15009e-03,1.31751e-03,8.75373e-04,5.42019e-04,3.12843e-04,1.98738e-04,1.35423e-04,8.48250e-05,4.94837e-05,3.16503e-05,2.16559e-05,1.35940e-05,7.98426e-06,5.11133e-06,3.50533e-06,2.15927e-06,1.28000e-06,8.30777e-07,5.75561e-07,3.61808e-07,2.18620e-07
2.15703e-03,1.32607e-03,8.84223e-04,5.49813e-04,3.18125e-04,2.01715e-04,1.36714e-04,8.46254e-05,4.83614e-05,3.02632e-05,2.02794e-05,1.23897e-05,7.05914e-06,4.41483e-06,2.97542e-06,1.79989e-06,1.05181e-06,6.77709e-07,4.68044e-07,2.94125e-07,1.78413e-07
2.15703e-03,1.32607e-03,8.84223e-04,5.49813e-04,3.18124e-04,2.01713e-04,1.36710e-04,8.46178e-05,4.83518e-05,3.02554e-05,2.02762e-05,1.23953e-05,7.07556e-06,4.43786e-06,3.00082e-06,1.82395e-06,1.07024e-06,6.90110e-07,4.75439e-07,2.96387e-07,1.77053e-07
2.32295e-03,1.41812e-03,9.40251e-04,5.81284e-04,3.34473e-04,2.11316e-04,1.42867e-04,8.81985e-05,5.02651e-05,3.13889e-05,2.09988e-05,1.28069e-05,7.28740e-06,4.55526e-06,3.06945e-06,1.85598e-06,1.08283e-06,6.95683e-07,4.78627e-07,2.98822e-07,1.79690e-07
2.37423e-03,1.45616e-03,9.67738e-04,5.98895e-04,3.44840e-04,2.17873e-04,1.47269e-04,9.08928e-05,5.17734e-05,3.23094e-05,2.15995e-05,1.31591e-05,7.47635e-06,4.66653e-06,3.14024e-06,1.89540e-06,1.10366e-06,7.07931e-07,4.86404e-07,3.03176e-07,1.81999e-07
2.15703e-03,1.32607e-03,8.84223e-04,5.49813e-04,3.18124e-04,2.01713e-04,1.36710e-04,8.46177e-05,4.83516e-05,3.02547e-05,2.02746e-05,1.23917e-05,7.06859e-06,4.42789e-06,2.98903e-06,1.81148e-06,1.05942e-06,6.81951e-07,4.69917e-07,2.93948e-07,1.77105e-07
2.21256e-03,1.45286e-03,1.03059e-03,6.89199e-04,4.30374e-04,2.88216e-04,2.03205e-04,1.30947e-04,7.75653e-05,4.95557e-05,3.35923e-05,2.06630e-05,1.17472e-05,7.28246e-06,4.84948e-06,2.87289e-06,1.63110e-06,1.02157e-06,6.86818e-07,4.15875e-07,2.41787e-07
2.07670e-03,1.30393e-03,8.96843e-04,5.85737e-04,3.60890e-04,2.41008e-04,1.70158e-04,1.10064e-04,6.55956e-05,4.21622e-05,2.87401e-05,1.78116e-05,1.02220e-05,6.39095e-06,4.28796e-06,2.56543e-06,1.47238e-06,9.30333e-07,6.30080e-07,3.84994e-07,2.25926e-07
